shipment_id,transaction_id,tracking_number,carrier,service_level,origin_location,destination_address,weight_kg,dimensions,ship_date,estimated_delivery,actual_delivery,delivery_status,shipping_cost
SHP001,TXN001,1Z999AA1234567890,UPS,standard,WH001,123 Main St Seattle WA,1.2,25x20x10 cm,2024-05-16,2024-05-20,2024-05-19,delivered,12.50
SHP002,TXN002,9261234567891234567890,FedEx,expedited,ST001,456 Oak Ave Portland OR,0.8,20x15x8 cm,2024-05-17,2024-05-18,2024-05-18,delivered,18.75
SHP003,TXN003,9400109876543210987654,USPS,standard,WH001,789 Pine St San Francisco CA,0.5,15x12x5 cm,2024-05-18,2024-05-22,2024-05-21,delivered,8.25
SHP004,TXN004,1Z999AA1234567891,UPS,overnight,WH001,321 Elm Dr Los Angeles CA,1.6,30x25x12 cm,2024-05-19,2024-05-20,2024-05-20,delivered,35.00
SHP005,TXN005,9261234567891234567891,FedEx,standard,ST002,654 Maple Blvd Denver CO,0.9,22x18x8 cm,2024-05-20,2024-05-24,2024-05-23,delivered,11.50
SHP006,TXN006,1Z999AA1234567892,UPS,standard,WH001,987 Cedar Ln Austin TX,2.1,35x28x15 cm,2024-05-21,2024-05-25,2024-05-24,delivered,15.75
SHP007,TXN007,9400109876543210987655,USPS,expedited,WH001,147 Birch Ave Miami FL,0.6,18x14x6 cm,2024-05-22,2024-05-24,2024-05-24,delivered,16.25
SHP008,TXN008,9261234567891234567892,FedEx,standard,ST001,258 Spruce St Chicago IL,0.7,20x16x7 cm,2024-05-23,2024-05-27,2024-05-26,delivered,9.80
SHP009,TXN009,1Z999AA1234567893,UPS,expedited,WH001,369 Willow Rd Boston MA,2.5,40x32x18 cm,2024-05-24,2024-05-26,2024-05-25,delivered,28.50
SHP010,TXN010,9400109876543210987656,USPS,standard,WH001,741 Poplar Dr Phoenix AZ,0.8,22x18x9 cm,2024-05-25,2024-05-29,2024-05-28,delivered,10.75
SHP011,TXN011,9261234567891234567893,FedEx,standard,ST003,852 Ash St Las Vegas NV,0.4,15x12x4 cm,2024-05-26,2024-05-30,2024-05-29,delivered,7.50
SHP012,TXN012,1Z999AA1234567894,UPS,overnight,WH001,963 Holly Ln Nashville TN,1.8,32x26x14 cm,2024-05-27,2024-05-28,2024-05-28,delivered,42.00
SHP013,TXN013,9400109876543210987657,USPS,expedited,WH001,741 Magnolia Ave Atlanta GA,0.5,16x13x5 cm,2024-05-28,2024-05-30,2024-05-30,delivered,14.25
SHP014,TXN014,9261234567891234567894,FedEx,standard,ST002,159 Dogwood Dr Detroit MI,0.9,23x19x8 cm,2024-05-29,2024-06-02,2024-06-01,delivered,12.00
SHP015,TXN015,1Z999AA1234567895,UPS,standard,WH001,357 Sycamore Rd Portland ME,1.3,28x22x11 cm,2024-05-30,2024-06-03,2024-06-02,delivered,13.75
SHP016,TXN016,9400109876543210987658,USPS,standard,WH001,123 Main St Seattle WA,0.6,18x15x6 cm,2024-06-02,2024-06-06,2024-06-05,delivered,9.25
SHP017,TXN017,9261234567891234567895,FedEx,expedited,WH001,789 Pine St San Francisco CA,1.0,24x20x9 cm,2024-06-03,2024-06-05,2024-06-04,delivered,19.50
SHP018,TXN018,1Z999AA1234567896,UPS,standard,ST001,654 Maple Blvd Denver CO,0.8,21x17x7 cm,2024-06-04,2024-06-08,2024-06-07,delivered,11.00
SHP019,TXN019,9400109876543210987659,USPS,expedited,WH001,147 Birch Ave Miami FL,1.4,29x23x12 cm,2024-06-05,2024-06-07,2024-06-07,delivered,17.75
SHP020,TXN020,9261234567891234567896,FedEx,overnight,WH001,369 Willow Rd Boston MA,2.2,38x30x16 cm,2024-06-06,2024-06-07,2024-06-07,delivered,45.00
