region_id,region_name,country,sales_date,total_revenue,total_transactions,average_order_value
RGN001,Pacific Northwest,USA,2024-05-15,8250.75,45,183.35
RGN002,California,USA,2024-05-15,12400.50,68,182.36
RGN003,Texas,USA,2024-05-15,6890.25,38,181.32
RGN004,Northeast,USA,2024-05-15,9750.80,52,187.52
RGN005,Southeast,USA,2024-05-15,7320.40,41,178.55
RGN001,Pacific Northwest,USA,2024-05-16,8950.20,48,186.46
RGN002,California,USA,2024-05-16,13200.75,72,183.34
RGN003,Texas,USA,2024-05-16,7125.60,39,182.71
RGN004,Northeast,USA,2024-05-16,10250.30,54,189.82
RGN005,Southeast,USA,2024-05-16,7680.15,43,178.61
RGN001,Pacific Northwest,USA,2024-05-17,7890.50,42,187.87
RGN002,California,USA,2024-05-17,11850.25,65,182.31
RGN003,Texas,USA,2024-05-17,6750.80,37,182.45
RGN004,Northeast,USA,2024-05-17,9450.60,50,189.01
RGN005,Southeast,USA,2024-05-17,7200.35,40,180.01
RGN001,Pacific Northwest,USA,2024-05-18,9100.40,49,185.72
RGN002,California,USA,2024-05-18,12650.90,69,183.35
RGN003,Texas,USA,2024-05-18,7350.25,40,183.76
RGN004,Northeast,USA,2024-05-18,10500.70,55,190.92
RGN005,Southeast,USA,2024-05-18,7890.20,44,179.32
RGN001,Pacific Northwest,USA,2024-05-19,8750.15,47,186.17
RGN002,California,USA,2024-05-19,12100.45,66,183.34
RGN003,Texas,USA,2024-05-19,6980.60,38,183.70
RGN004,Northeast,USA,2024-05-19,9850.25,52,189.43
RGN005,Southeast,USA,2024-05-19,7520.80,42,179.07
