customer_id,loyalty_tier,points_balance,points_earned_ytd,points_redeemed_ytd,tier_start_date,lifetime_value
CUST001,Platinum,15420,28450,13030,2023-01-01,12500.75
CUST002,Silver,3250,8920,5670,2023-03-15,4200.30
CUST003,Gold,8750,19340,10590,2022-11-20,8900.50
CUST004,Bronze,1200,3450,2250,2023-08-10,1850.25
CUST005,Silver,4100,11200,7100,2023-02-28,5300.80
CUST006,Platinum,12800,31200,18400,2022-09-05,15200.90
CUST007,Gold,6900,16800,9900,2023-04-12,7100.40
CUST008,Bronze,890,2340,1450,2023-09-01,1200.15
CUST009,Platinum,18200,35600,17400,2022-07-18,18750.60
CUST010,Silver,3800,10100,6300,2023-05-22,4800.35
CUST011,Bronze,650,1890,1240,2023-10-15,950.20
CUST012,Gold,9200,21400,12200,2022-12-08,9800.75
CUST013,Silver,4500,12300,7800,2023-01-30,5650.45
CUST014,Bronze,1100,2950,1850,2023-07-25,1650.30
CUST015,Gold,7300,17900,10600,2023-03-02,8200.55
