inventory_id,product_id,location_id,stock_quantity,reserved_quantity,reorder_point,max_stock_level,last_updated
INV001,PRD001,WH001,150,25,50,300,2024-06-15 09:30:00
INV002,PRD001,ST001,25,5,10,50,2024-06-15 09:30:00
INV003,PRD002,WH001,200,30,75,400,2024-06-15 09:30:00
INV004,PRD002,ST002,18,3,15,35,2024-06-15 09:30:00
INV005,PRD003,WH001,500,80,150,1000,2024-06-15 09:30:00
INV006,PRD003,ST001,45,8,25,80,2024-06-15 09:30:00
INV007,PRD004,WH001,120,15,40,250,2024-06-15 09:30:00
INV008,PRD004,ST003,22,4,12,45,2024-06-15 09:30:00
INV009,PRD005,WH001,300,50,100,600,2024-06-15 09:30:00
INV010,PRD005,ST001,35,6,20,70,2024-06-15 09:30:00
INV011,PRD006,WH001,80,12,25,150,2024-06-15 09:30:00
INV012,PRD006,ST002,15,2,8,30,2024-06-15 09:30:00
INV013,PRD007,WH001,60,8,20,120,2024-06-15 09:30:00
INV014,PRD007,ST003,12,1,5,25,2024-06-15 09:30:00
INV015,PRD008,WH001,45,5,15,90,2024-06-15 09:30:00
INV016,PRD008,ST001,8,1,3,20,2024-06-15 09:30:00
INV017,PRD009,WH001,180,25,60,350,2024-06-15 09:30:00
INV018,PRD009,ST002,28,4,15,50,2024-06-15 09:30:00
INV019,PRD010,WH001,95,15,30,200,2024-06-15 09:30:00
INV020,PRD010,ST003,18,3,8,35,2024-06-15 09:30:00
INV021,PRD011,WH001,70,10,25,140,2024-06-15 09:30:00
INV022,PRD011,ST001,14,2,6,28,2024-06-15 09:30:00
INV023,PRD012,WH001,110,18,35,225,2024-06-15 09:30:00
INV024,PRD012,ST002,20,3,10,40,2024-06-15 09:30:00
INV025,PRD013,WH001,85,12,28,170,2024-06-15 09:30:00
